row_id,F_3_0,F_3_1,F_3_2,F_3_3,F_3_4,F_3_5,F_3_6,F_3_7,F_3_8,F_3_9,F_3_10,F_3_11,F_3_12,F_3_13,F_3_14,F_3_15,F_3_16,F_3_17,F_3_18,F_3_19,F_3_20,F_3_21,F_3_22,F_3_23,F_3_24
34,0.628097,-0.263085,0.126764,-1.16204,1.909817,-0.952466,1.409855,0.066279,0.706733,-0.300364,0.059031,-1.199358,-0.588574,0.862535,-0.160754,0.050787,-1.046822,2.662282,-0.01496,1.089286,-2.270664,1.009396,-1.144046,0.048807,1.665099
38,0.150844,-0.343562,-1.227363,-2.380121,0.125331,0.179533,-0.551897,-0.220299,0.004487034242658245,0.732506,-0.2403,1.718383,0.882796,-0.165194,0.158979,-2.632019,0.609633,0.304498,1.290375,-0.420651,0.724339,-0.150191,0.76578,-1.187298,1.597423
39,-1.909869,0.31583,-1.143308,-0.822594,-1.001057,-1.666298,0.845367,-0.457695,-1.381626,0.931502,-0.065223,-0.302746,-1.61735,0.550618,-0.307243,-0.06652,1.277742,-0.788771,-1.220836,0.07349,1.282215,0.368605,1.004233,-0.03821523407779804,0.009698
40,-0.020664,1.639928,0.818191,-0.320309,0.905843,-0.433966,-1.678675,-1.115296,-0.59822,1.51511,0.531561,0.462932,1.350013,0.660948,-0.713698,-0.721563,-0.028383,0.936779,-0.636012,-0.93177,-0.249026,0.53131,1.289213,0.768502,-1.95534
42,0.512719,0.324625,1.800773,-0.543764,-0.042099313881117734,0.504319,0.737612,-0.33917,-2.472167,-0.429923,-0.902471,1.026604,1.209701,-0.583137,1.521056,0.129816,0.002764,-0.605804,1.446006,0.848546,-0.927738,-0.901321,-0.818044,0.580917,-0.557438
43,-1.756717,-0.127759,1.18263,0.760675,0.344088,-0.312739,1.224183,0.364246,0.693692,-0.702755,0.03171303505185895,-0.699146,0.941079,-0.742075,0.845075,1.022105,-0.45556,0.62754,-0.524961,0.563807,0.709213,0.390114,0.872807,-0.224458,0.03686232429071461
46,0.639228,-0.167295,-0.77722,-0.290831,0.326983,1.366081,-0.463054,0.549602,0.04350678292492745,0.515304,-0.63795,0.82848,-0.460738,0.606729,-0.412988,-0.848295,-1.101306,-0.122983,0.71754,-0.124362,-1.530469,0.474095,1.005471,-0.531155,-0.4402
47,-0.294794,-0.135184,0.121425,-0.996003,-1.115302,0.084321,0.405094,-0.450734,-0.283406,1.223173,1.469132,-0.250134,0.878237,0.154556,0.159115,-1.663564,1.464842,1.234741,-0.979748,0.584425,-0.017057,0.75571,0.516472,-0.767344,-0.118719
51,-0.931483,1.730793,-0.22962,-1.46857,0.729184,-0.120103,0.770258,0.851906,0.382185,-0.445938,-0.242576,-2.482564,-0.188356,0.843957,0.656939,-0.582055,-2.335007,-1.081826,0.449634,0.135515,-0.251447,0.188006,-0.714251,0.528738,-1.105918
52,0.676354,0.641342,0.047436,1.564215,0.068289,1.058884,-0.085908,1.489202,-0.20895,-0.058816,-0.659248,-0.265952,0.042579,-1.030686,-1.311767,0.306881,1.159663,-0.367053,-0.401952,0.581755,-1.204476,-0.220804,-1.904233,0.763861,1.381305
55,-0.47696,0.272986,0.695546,-0.089444,-0.454434,0.660145,-0.846738,-0.681771,-0.030965,-0.633545,-1.79247,2.11046,-1.372384,3.108451,-1.018202,-0.834606,-0.997008,-1.444105,-0.119907,0.885963,0.264343,0.027832,-0.361751,-2.708063,0.248918
62,0.58777,-1.111485,1.004929,0.48203,-1.068173,0.238599,0.318266,1.293026,-1.345311,-2.030077,-0.103546,1.143862,-0.7749,1.967743,-1.869254,0.301372,-0.298132,3.628186,1.035562,0.721747,0.612629,0.035027,1.071414,2.821554,-0.074375
68,0.301135,1.15072,0.608604,-0.04433280702127829,-0.457675,0.349714,-0.85803,-1.588485,0.191437,-0.19422,0.521358,-0.931863,1.088298,0.789808,-0.295129,-1.720787,-0.558045,1.31481,-0.047593,-1.608949,-0.162077,-0.889542,-0.063415,1.476571,-0.758731
70,0.155927,-1.156617,-0.936646,-0.811,0.591699,0.370976,-0.415867,-1.060152,-1.025276,0.583972,1.048124,0.818382,0.479962,0.459093,-0.136508,0.127411,2.069591,-0.495442,1.134815,1.135234,0.600721,0.447135,-1.111367,-1.666596,0.87057
74,-0.351415,2.374444,1.753925,-0.208016,0.190705,0.021635512164484106,-0.176356,2.034009,-0.118324,-0.800507,-0.079896,-0.500763,1.92858,1.153859,0.506137,1.570929,-0.375588,2.402282,-1.389903,-1.307749,2.618692,0.477324,0.214871,-0.350094,0.532658
76,0.039937,-0.533641,1.384988,1.277229,-1.088064,0.074299,0.101126,1.657677,1.187417,-1.880438,0.08469246317033385,-0.201832,1.463157,0.779898,-1.092041,1.419777,0.323006,-0.004294,2.537905,-2.541727,1.172852,-0.161383,-1.457637,0.449802,1.646101
78,-0.82497,-1.836423,-0.33824,0.676292,-0.664774,-1.405679,-0.553424,0.212406,0.221692,-1.091666,0.422368,-0.925506,0.588791,0.350297,0.244483,-1.389755,0.518472,-0.538366,-0.150899,-0.04655,1.076109,0.338245,1.744093,-0.127947,0.747222
81,-1.753199,1.259606,1.483059,0.384578,-1.738712,0.60647,0.251548,-0.80176,0.82408,-0.378391,-0.288565,-1.058797,0.495725,0.787695,1.061383,-0.157511,0.979546,-1.407074,-0.203537,0.127252,0.242674,0.558288,0.201662,-1.716369,2.016053
89,-0.867574,0.179506,-0.582851,0.263506,0.223097,3.451645,0.725478,0.653957,-0.847048,-1.661766,-0.670707,0.169289,-0.772695,-0.086992,-1.101983,0.331259,-0.612914,0.04062,0.423375,1.050664,0.05629395737139718,-0.551665,0.644848,0.644655,0.185511
92,0.118173,0.321043,1.590492,0.030258,1.189764,1.142114,-0.810961,-1.268535,1.376683,-0.445917,0.068635,-0.105929,0.895658,0.748614,0.287924,-3.477859,-1.190042,1.603918,0.608235,-1.187592,1.380772,0.647923,-0.77609,1.300426,2.403174
93,-0.047629,-0.605481,-0.603604,-0.513622,1.074522,-0.660574,-1.284184,0.569086,0.154045,-1.527814,-1.15587,-0.260759,0.976901,0.169363,-0.012663,-0.60937,-1.084517,0.82598,1.394778,-0.249971,0.111464,-0.379868,-0.658873,-0.666886,-0.372977
95,-1.619186,-0.738514,0.238825,-1.245766,0.157434,0.651613,0.192848,1.24177,-0.471399,-1.881258,-0.014742,0.158044,-0.188843,-1.137877,-0.338187,1.72959,-0.044781,1.42911,0.610045,0.23969,1.457574,-0.021809,0.730475,-0.209919,-0.773674
100,0.269414,-0.289532,0.6618,0.326935,1.444949,2.876642,0.937329,1.515724,-1.553478,-0.309814,1.055048,-0.345239,0.405581,-0.803024,1.114024,0.809815,1.846642,0.13975,0.309013,0.816745,-1.027649,-1.06132,0.506549,0.475808,0.921008
101,0.094863,-0.230436,-0.431066,-0.485591,-1.462873,0.536109,-0.847312,-0.382806,0.745571,0.273775,1.19856,0.996903,-0.593705,0.424204,0.357929,1.237132,-1.0599,0.462899,0.035675,0.304507,0.066707,-0.123786,0.858666,-0.007682,1.365124
103,0.567241,-2.01727,-0.770677,2.224105,-1.529182,-0.521424,1.056647,-1.454716,0.520429,-0.816654,-0.139271,0.486683,0.137568,-0.189974,-0.739248,-0.355342,-0.059451,-0.66625,-0.735143,0.358004,-0.087205,0.790471,-0.314921,0.056137,0.514646
110,0.034116,0.547716,-0.538301,-0.224158,2.15672,-0.174935,0.355007,0.652149,-1.206404,0.265262,-0.094381,-2.26132,-1.249278,0.473049,0.26012,0.070965,0.265346,-0.146402,-0.414899,-1.100822,1.056199,0.24891,-0.04784,1.69697,-0.69843
111,-0.352183,0.560602,-1.071588,-0.437601,1.228683,-0.831704,-0.654871,-1.224313,-0.024962,0.70925,-0.586278,-0.1497,-0.267534,-0.534874,0.930706,-0.561409,-0.126336,-0.329707,0.275796,0.237174,-0.452203,-0.90519,-0.737288,-0.067999,-1.083237
113,0.284338,-0.280137,1.131686,-0.331724,1.706803,1.433052,0.984058,1.06102,-2.394904,-0.418848,-0.109272,1.924212,-0.0797,0.00987,-0.093414,-1.984277,0.03072768739080779,0.054907,1.261968,-0.68131,-0.711233,-0.51732,0.775044,-0.899006,-0.469473
114,2.483014,0.837615,-0.116729,1.563276,0.908054,0.075428,0.0547349893088685,-1.392533,0.978608,-0.638098,-0.122973,1.881744,0.335538,0.943944,0.756128,-0.609993,-0.644012,1.537898,1.365159,0.040158,-3.027865,0.323941,-0.249934,-1.420899,0.300072
115,0.280931,1.768977,0.486267,1.162811,-0.242655,0.914463,0.47373,-0.580427,-0.301817,1.286176,-1.682371,-0.112152,-1.30053,-1.347225,-0.565855,-0.911795,-0.538742,2.337109,-0.114638,0.029952,2.171143,-0.433699,-1.494081,-0.224883,-0.205858
116,2.493066,0.763249,-1.143943,-0.055603,-1.449385,0.281657,-0.316475,1.505985,-0.30999,0.838886,-0.897723,-1.169694,-1.244106,-1.836917,0.780121,0.741439,-1.213708,1.088968,1.164329,-0.444191,0.656547,1.596742,-0.086507,0.567877,0.850825
117,-1.283056,-0.452293,1.299205,-1.769687,0.566755,-0.155619,-1.002417,0.823291,-1.374181,-1.343929,-0.679726,1.084704,-0.359297,1.129879,0.893754,-1.64676,0.783345,0.926454,1.32423,-0.198958,0.55467,0.218468,0.546237,0.828514,1.039733
123,0.766102,1.425611,-0.335113,0.940463,-0.176397,0.175563,-0.550315,-0.968498,-0.460845,-0.068743,0.184859,-0.074732,-1.127675,-0.087824,-0.959925,0.995103,0.486268,1.323989,0.308341,0.501831,-1.294035,0.474544,0.207834,-0.268359,0.011052
131,0.396154,0.495187,-0.371118,-0.155134,1.357685,0.108311,-0.919561,-0.557982,1.651912,-0.583569,0.310612,0.302856,0.05665118461117301,0.704265,0.345864,-1.439172,-0.361741,0.955776,0.71855,0.881011,-2.776004,0.938863,-1.542459,0.502466,0.209914
133,-0.494795,0.364556,0.735247,0.956607,-1.268577,0.328025,-0.175112,-1.527714,-0.759135,1.493646,-1.128647,0.829311,0.012985992910399908,0.384231,2.268871,-0.130736,0.059675,-0.245404,1.070726,1.570327,-0.974108,1.017478,0.092369,-0.35935,-1.565013
135,1.389286,2.327619,1.060413,-0.147327,1.209664,-0.04107,0.088714,0.243379,0.962923,-0.108514,2.265855,0.252763,0.924166,0.263451,-0.722858,-0.289228,0.180669,0.667481,-0.860054,0.452078,1.212492,-0.43937,-3.356441,-0.197657,0.38728
140,-2.537204,0.542404,2.041158,0.230959,0.007537,0.05051481970762211,0.313805,-1.566667,-0.513104,-0.900721,1.682347,-1.267767,-0.158957,-1.685856,-1.990054,-0.546109,-1.176622,-0.07027109246182811,3.009172,-0.273792,-0.154706,0.517797,-0.445273,-1.159942,-0.33846
146,0.56247,0.856136,-0.202651,1.557769,-0.716165,1.232081,-2.18234,0.902269,-0.821802,-0.983673,-1.407658,0.084019,0.702359,0.204548,0.054748691175075276,0.588507,0.924992,2.345373,0.019902,-1.186936,-0.54563,0.109172,0.099517,-0.269268,1.392593
148,0.374425,1.410152,-0.633892,1.151173,1.965277,0.950579,1.471295,1.320115,-0.094371,-1.51276,1.808331,-0.497068,1.63529,1.616686,1.296004,-0.009109,0.159542,-0.581686,-1.009376,0.59859,-0.554262,0.853283,1.53515,-1.472705,1.688296
150,0.365558,1.50712,-0.876873,-0.032004,1.736966,1.205844,-0.87549,0.021261697998024392,0.198573,0.251099,-1.09018,0.899716,0.110374,0.040184,1.333326,2.170451,0.602386,-0.845428,-0.318958,0.058505,0.466641,0.075078,1.370104,0.347582,-1.118117
153,0.949386,-1.617303,-0.101179,-0.514077,-1.246858,-0.456595,0.295016,1.625156,0.038259646540266645,1.275032,0.238152,-1.143057,-0.5337,-2.392459,1.216382,-0.758617,1.163972,0.728261,0.828528,-0.442987,-1.530146,-0.413729,1.238117,-1.048869,0.628366
154,0.801098,0.691381,-1.864328,-0.367949,0.048439,-0.254332,0.288871,2.705867,-0.023859,0.555572,0.056641,0.913231,-0.165586,-0.023149,-1.164171,-0.597746,-0.671595,1.632582,0.117361,-0.931471,0.615015,0.079149,0.208434,-1.249585,-0.146872
155,-1.530228,-1.415446,-0.423055,-1.395314,0.587564,-1.486842,-0.475425,-1.481945,1.196507,-0.358685,-0.202398,-0.414701,-0.281865,0.893789,-0.267142,-0.331322,0.110286,1.208471,0.134513,0.611545,0.541353,-1.205713,1.062298,0.672602,-0.647077
156,0.871554,-0.968934,-0.451101,-0.918486,-0.645537,1.768032,-1.029291,-1.255903,0.373549,-0.463083,0.917517,0.40012,-1.005144,-0.028386,-0.224031,-0.670511,-0.14556381847105881,0.199272,0.471691,-1.713262,-1.658002,0.998214,0.249008,0.817252,0.118205
158,0.461339,-0.479045,1.173923,-0.983631,-0.27858,-0.825152,-0.770682,1.827013,-1.316383,-0.222877,-2.663489,-0.736099,1.33659,-0.398289,-0.800162,-0.236694,-1.76621,-0.104629,-0.995159,-0.554405,0.855661,-1.845128,-0.604715,-0.012049,0.410731
159,0.710414,1.017101,-1.702968,0.313316,0.022002,-1.179944,-1.017495,0.481271,-0.447922,1.349396,-0.804803,0.168722,1.039533,0.17476,1.217608,-0.063339,1.568095,0.143535,-1.979615,-0.083513,1.076978,0.098264,-0.067031,0.204451,2.584696
160,-1.200704,0.57259,0.263663,0.778857,0.390387,0.6169,0.692804,-0.26653,-0.460778,1.066891,-0.326974,0.067088,0.227681,1.09361,0.486835,1.313844,-0.002226,0.813564,-1.706547,0.545205,-0.929527,0.163113,0.908025,0.422831,-1.235065
164,0.121376,0.743634,-1.240361,0.90502,0.695834,1.456267,-1.039651,-1.176989,-1.954452,-0.146015,-0.569678,-0.339011,0.584702,-0.903647,-0.894034,0.333518,1.526649,0.500405,-1.033483,0.109299,0.342127,-0.116699,0.893208,0.211461,-0.412142
167,0.176974,0.569027,-0.060732,-0.846549,-0.762116,0.102128,-1.102179,-1.034457,1.474392,0.111182,2.800184,1.057015,0.574951,0.290665,-0.45156,0.539607,-0.13558,1.391266,-0.807946,0.232278,-0.952057,0.992735,1.983705,0.640434,0.492919
169,0.326391,-0.871078,0.0607,0.348867,-1.626976,-1.017511,0.837478,-0.343762,-0.266985,0.963627,-2.31338,-0.079671,0.696335,0.682943,0.096744,-1.865291,-0.003042,-0.895134,1.062215,-0.631417,-1.13857,-0.086899,2.062472,-1.37987,-0.991763
171,-1.222359,-2.017178,-0.15707,-0.549464,-1.062681,-0.477008,-0.1213,0.653811,-0.581912,0.789908,0.074442,-0.467751,-0.287571,-0.272505,-0.475417,0.080022,-0.49166,0.201563,0.118249,0.823829,1.293127,0.674005,-0.085463,-1.929984,-0.280317
172,0.359375,-1.136364,-0.394284,-0.662296,0.513406,0.287205,-0.239294,0.379262,0.390534,-1.332574,0.655051,0.063744,-0.677004,-0.094349,-0.530101,1.567315,0.585311,1.100925,-1.286147,-0.114469,-1.839388,0.186287,0.895938,-0.541237,-1.031749
174,0.386301,-0.013493,-1.756363,0.885499,1.418571,-1.240889,-1.756358,0.552865,0.130941,1.832656,-1.022831,-2.115814,-0.574602,0.106998,0.587517,0.048773,-0.049508,0.345451,-1.028342,-0.934444,0.542003,0.543634,2.245975,-1.858946,0.144397
175,0.751745,0.275087,-2.769155,-0.91136,0.324724,1.564802,-0.149895,-1.110189,0.742677,-0.870104,-0.352656,0.862484,0.84573,2.585174,-0.960394,-0.05225,-0.698073,-0.007832,0.302736,0.19722,-1.406817,-2.374068,-0.837276,-1.123133,1.357556
176,-0.100995,1.455921,-0.893848,0.33588,-1.216886,-0.757767,0.890161,-0.791983,0.910416,-0.57724,-0.929821,-0.931537,-0.76757,-0.376726,-0.109904,0.253127,-0.45204,0.090655,-0.09246,-0.042981,-0.3483,-0.733532,1.205466,-0.521513,-0.386928
183,-2.625099,-0.583903,-0.388936,-0.103174,0.368324,1.91841,-0.19482,-1.508786,-0.354634,0.855325,-0.111064,0.098342,-0.03660684181253575,0.725621,0.673547,0.335749,0.099282,0.853366,2.233612,0.005265,2.191255,-1.019175,0.592211,0.026857,-0.589731
185,0.32357,0.15294,-1.320364,-0.18516,-0.352664,0.260388,-1.428003,0.586188,-1.283606,-0.676311,0.697455,-0.041587,1.960557,-0.243422,0.682916,1.35731,-0.532627,1.011371,-0.614706,-0.084847,-2.659929,0.039077,0.799166,-0.247486,2.005902
199,1.541765,0.343449,1.08383,1.531557,0.346486,-1.990218,-0.817998,0.070642,-1.43268,-0.074724,-1.557981,-0.084445,-0.593305,0.592684,-0.08252,0.218338,-0.145253,-0.878569,0.562119,0.330754,-0.142497,-0.909496,0.525586,1.535392,-0.266757
202,0.182206,1.238112,0.841553,-1.052788,1.42384,1.114344,-0.37533,1.013504,1.513203,0.148309,0.097193,0.876464,-0.091968,-0.235633,0.811048,-0.006632,-0.007817098564541249,0.256877,0.307831,0.243197,1.109023,-0.234285,0.473471,0.627495,0.493458
204,-0.213399,0.873669,1.184764,0.190358,0.706258,0.971687,0.222647,0.630908,0.441624,-0.38367,0.03068278416374453,2.153823,2.619936,-1.117676,-1.539103,-1.605018,0.921183,-1.094102,1.61763,1.343496,0.299227,-0.110911,0.410927,-0.544525,1.303949
210,0.435112,-0.631359,-0.47173,-0.76264,0.597583,0.06721,0.207614,-1.516689,1.88539,-0.312944,-1.213843,1.163424,-1.026032,-0.96287,0.121824,0.202285,-2.559778,-1.036109,2.302121,-0.035669,-0.723883,-1.19609,0.700571,1.524804,-0.638424
211,2.213587,1.040008,-1.109681,-1.740463,0.130123,0.13214,0.355234,-0.166325,-1.220792,-0.361751,-0.460731,0.025717,-0.275587,0.663767,1.958219,0.369532,-1.647114,-0.560113,-0.496096,0.543659,1.684057,-0.369258,-0.135746,-1.562473,-0.897902
215,-0.078757,0.252685,1.829823,-1.191966,-1.137968,-0.500036,0.680388,-1.157062,0.885165,-0.585963,-0.262679,0.129795,-0.05777,1.887378,0.461916,-2.025428,2.109714,0.632392,0.547383,0.879203,0.921779,-0.000327,0.957626,0.829061,-0.008057
218,0.467034,-0.589161,0.466635,-0.539245,0.647687,0.614657,0.57586,-0.03652410850611764,-0.166897,0.092849,-0.173765,0.096019,0.762156,-0.364587,0.446127,-1.263384,0.071181,-0.198404,-0.043958,0.260582,-1.377002,-1.286405,-0.193946,0.0229939236646075,-0.541973
221,1.664019,-1.175985,-1.598637,0.475024,0.870535,0.100969,-0.993062,-0.548998,-0.506288,-0.008398,0.775583,-0.245218,-0.320374,0.28319,0.251582,0.85783,0.073908,1.052838,1.169335,0.183116,-0.616337,0.657918,-0.771785,-0.598936,0.659174
222,1.69566,-0.342254,-0.595182,-0.572904,-0.674975,-0.401746,-0.494191,0.325152,1.096076,0.08463741231474878,1.421464,0.185223,0.81708,-1.743773,-1.105311,1.523405,1.083988,0.651004,-0.929513,-1.244574,-0.583261,0.662035,-1.00681,0.847413,0.150013
226,1.228267,-1.243918,0.149192,1.704314,2.300407,-0.513852,0.508079,0.050963,-2.231894,0.683637,-1.111504,0.007486951308513104,-1.309956,-0.447072,0.426426,0.663906,0.158954,-2.012307,-0.908718,0.601231,0.603576,-0.022535,1.218816,-1.445469,0.022786
229,0.711913,-1.210767,0.73566,0.415608,2.398414,0.644966,-0.178748,-0.20129,1.173677,0.569818,0.905858,0.182181,-0.221845,0.127122,0.491096,0.917574,-0.277228,-0.267304,-0.132195,-0.366785,0.13990700591588748,0.958288,-0.024677,1.113531,0.05596443706166847
230,0.039035,0.274833,0.000983,-0.020274,-1.099362,1.390757,-0.562864,0.175337,0.429944,-0.966955,1.947467,-1.699316,0.462208,1.161812,0.495464,1.033707,0.087093,1.266045,-0.785789,1.087371,1.288191,-0.091151,-0.008198,0.809441,-0.404746
231,-0.664289,0.314123,0.666758,0.726112,0.301922,-0.004765,-1.794217,1.014811,-0.466172,0.723311,2.218523,0.977589,-1.441858,-2.765526,0.878608,-1.11475,-0.05228,0.270937,0.374203,-0.402604,0.94809,0.319939,-1.649959,1.13981,0.14458
235,-1.502179,-0.552827,-0.578965,-1.245134,0.79474,-1.019661,0.311002,1.547822,-0.820858,0.905538,0.266254,-0.019384,0.05648,-0.896278,-0.291911,0.570261,-0.39938,0.231069,-0.368714,1.875598,0.388366,-0.484355,-0.127063,-0.725244,0.665059
236,-0.448846,-1.144966,1.730001,-0.31316,-0.387742,-0.021329,-0.722535,-1.023676,-1.321538,-0.409281,0.148274,0.157441,0.086491,0.044564,-2.081123,-1.085698,0.739268,-1.356937,-0.600897,-0.244219,-1.257447,0.054824,-0.256137,0.093298,1.227636
237,-1.026947,-0.282076,-0.499682,0.659482,0.132519,-0.928016,0.575128,-1.478124,-0.01689,0.253186,1.007223,-1.449422,-0.068769,-2.363565,-1.036468,1.398616,0.103112,2.025471,1.377517,0.086306,-1.012595,0.285756,0.06693011956211152,-0.786522,-0.607305
238,-1.64526,-0.569831,-0.432086,-0.550812,0.429458,0.760552,0.354605,2.333213,0.061659,0.864024,0.481213,0.221987,-0.228295,-0.687466,-0.055022,-0.091912,1.928858,1.008657,-0.222143,0.450497,0.64253,0.830607,0.062475,1.756468,0.305182
240,-1.049816,-0.532757,1.539341,0.404485,0.868805,1.472719,0.215337,0.534288,-0.5927,0.412316,0.599806,0.613428,0.013514,-0.588933,-0.000841,0.117678,0.846472,0.720453,-0.054606,1.197326,0.569319,0.158248,-0.03385056808618597,0.860198,0.745414
242,1.079904,-0.834221,-0.373821,0.545718,-2.492085,-0.895018,0.930923,-1.258048,-1.801388,-1.150732,-0.518953,2.30951,0.704002,-1.922132,0.317819,-2.034246,-0.315877,1.917393,1.751884,-0.853302,-0.753491,0.057563,-1.139921,0.127452,-1.904275
243,1.155749,-1.304857,-1.009505,-0.17599,0.829009,-0.16983,-1.281067,-1.430448,-0.504857,0.125677,0.40333,-0.006443,0.597458,-0.988635,-0.590402,0.64495,1.111969,0.020694,-1.545513,0.14798,0.655197,-0.043304,1.208007,1.887782,0.04176515865271164
245,-1.118059,0.638358,-0.319565,0.7932,-0.623457,1.082853,0.199737,-0.274774,0.469929,0.532606,0.701906,-0.229547,-0.824668,-0.916245,-0.510429,-0.228785,-0.421967,-1.312444,-0.283357,1.483188,1.443457,0.615687,0.805995,1.049418,1.371686
248,-0.306142,-1.311176,1.165843,0.959277,-0.439676,0.879702,0.63194,0.508812,-0.214798,0.371552,-0.135058,-1.431103,-0.145816,-0.710636,-0.0983,-0.12469,-0.628429,0.775448,0.676178,0.151965,1.992817,-0.382081,-0.468864,0.441082,-0.160091
249,-1.601656,0.421877,0.953259,0.299543,-0.295797,0.116935,-0.013509,-0.342718,0.717682,1.011892,1.473514,0.546083,-0.296307,-0.828838,0.908412,-1.181381,-1.588351,-1.038493,-0.568133,-1.180888,-0.044036,0.352636,0.264243,-0.920922,-0.212973
254,1.194232,0.244116,0.564907,0.057459385294649515,0.103816,-0.818111,-0.085815,-0.419581,1.031521,0.022457,0.286723,-0.534703,0.553326,-0.016186807478301455,-1.330322,1.143089,-0.539516,0.858533,2.419413,0.220454,0.755763,0.384148,1.454216,-1.167664,-1.260391
256,-0.378394,0.624831,0.3378,-0.706735,0.029199617112142782,0.862648,-0.612058,0.846791,0.021212,-0.668227,-1.622466,-0.570204,0.092643,0.426887,1.553852,0.784462,0.123878,-0.511619,1.39754,0.307092,-0.520749,-1.368552,0.898211,-0.65503,-0.431887
259,-0.054452,1.52044,-0.497799,1.089311,-0.188015,-0.337896,-0.309001,2.508053,0.701598,-0.474119,-0.660032,-0.097744,1.102493,-1.47734,-0.12289,-0.5466,-1.76707,-1.228128,1.729576,-1.214689,-0.077132,-0.091479,-1.138797,-0.434855,-1.256559
261,-0.391907,0.234356,-0.693194,0.530227,0.35978,-0.406654,0.568639,-0.127833,-0.159687,0.031431,-0.321841,0.717617,0.34168,-1.513846,-0.770614,-1.00515,-1.200958,-1.326253,-1.730088,-0.866339,-0.98564,-0.129823,1.435828,1.464899,1.361729
269,-1.3198,-0.084436,-0.065017,-1.358234,-0.436365,0.649004,1.617634,0.314039,0.453231,-0.109525,0.910351,-0.313397,0.065532,0.505913,-1.409969,0.689812,-0.171915,0.106655,1.36853,-0.2983,-0.467862,-0.044498,-1.94294,0.290937,-1.545195
270,1.199756,0.531842,0.640517,-0.011623,0.933149,-0.584764,1.084675,-1.174125,-0.961785,1.13235,0.688045,1.105349,0.716217,-1.128179,0.043133352721469564,0.700681,-0.751656,-0.015032,-0.41565,-0.39071,-0.155549,0.232128,-0.893792,0.788605,0.648954
274,0.564442,-0.411529,0.172425,0.597855,-0.943463,0.620573,-0.317372,1.066768,0.180325,0.099221,1.023561,-0.192267,-0.480854,-0.52455,0.221754,0.095378,-0.241127,0.148463,-0.15676,0.60016,-1.926053,0.682665,-0.567149,-0.101057,0.079367
